Mode,Stop Name,Avg. Delay Seconds
B,FROISSART,157.128579235
B,UZ-PEDIATRIE,157.130378997
B,UZ BRUSSEL,157.289843328
B,ETANGS BOITSFORT,157.337480560
B,MEISER,157.420292823
B,MIDDELWEG,157.525679758
B,VANHUFFEL,157.681769609
B,BOTANIQUE,157.707976566
B,LORGE,158.011291978
B,FUTAIE,158.098989195
B,GARE DE JETTE,158.115561896
B,CROIX DE GUERRE,158.434841454
B,DE WANSIJN,158.449798215
B,PAVILLONS MEUDON,158.667140825
B,RTL HOUSE,158.715570786
B,DROSSART,158.721804511
B,CPAS GANSHOREN,158.783011583
B,UCCLE CALEVOET,158.813795647
B,ROGIER,158.886981402
B,PAMPOEL,158.932503888
B,FIRMIN LECHARLIER,159.028533636
B,AUDITOIRES-UCL,159.123307544
B,GRIOTTES,159.194335938
B,PLACE SAINT-JOB,159.226964113
B,FOREST CENTRE,159.25
B,SQ. DU CENTENAIRE,159.253425943
B,JORDAEN,159.517578125
B,CLAESSENS,159.561714286
B,DUCHESSE BRABANT,159.886211071
B,HELDENPLEIN,159.895073236
B,VERBEYST,159.974770039
B,ZEPHYR,159.976899527
B,HOUZEAU,160.042618820
B,LUTHER,160.110429448
B,MARTIN LUTH. KING,160.162104133
B,POUCHKINE,160.166440085
B,MOMMAERTS,160.202677313
B,CAPRICORNE,160.320400245
B,DIEUDONNE LEFEVRE,160.477200308
B,BOONDAEL GARE,160.575527426
B,RUISBROEK CENTRUM,160.677258403
B,ENTREPOT,160.741641572
B,DUYSBURGH,160.760892116
B,ERASME,160.839097744
B,HEYSEL,160.859704851
B,KATTENBERG,160.936451898
B,TREFLES,161.208921256
B,DIVIN SAUVEUR,161.251575630
B,RUE LONGUE,161.358778626
B,JACQUES BREL,161.377873295
B,ANDROMEDE,161.384049414
B,MUSEE DU TRAM,161.386271871
B,MOUNIER,161.480046948
B,KERK VILVOORDE,161.496586599
B,BERVOETS,161.851085310
B,NEKKERSDAL,162.062678742
B,FRANS HALS,162.102982955
B,BARON DE CASTRO,162.203225806
B,SPORTCENTRUM,162.349056604
B,MOZART,162.813411079
B,MEYLEMEERSCH,162.869995290
B,ENGELAND,163.312116136
B,BRESIL,163.670509126
B,BRILLANT,163.812564722
B,FORESTERIE,163.817679558
B,BOILEAU,163.951385390
B,COLOMBOPHILES,164.487847222
B,SAVONNERIE,164.662027833
B,VAN PRAET,164.842394289
B,KAPEL RUISBROEK,164.917789387
B,RUE DE L'OBUS,164.933490443
B,HUIT HEURES,164.964876033
B,KERK RUISBROEK,165.317330837
B,MARIE CURIE,165.482323232
B,EDDY MERCKX,165.493810179
B,MERCURE,165.509001200
B,SCHEUT,165.554104758
B,PICARD,165.809639530
B,MINNEMOLEN,165.837563452
B,BORNE,165.861810552
B,FORESTOISE,166.251507321
B,BIEN-FAIRE,166.328716528
B,VETERANS COLON.,167.041765794
B,AUTRIQUE,167.130726257
B,GARE DE SAINT-JOB,167.277182733
B,WAXWEILER,167.285714286
B,VIEUX CHEMIN,167.506187818
B,BREMER,167.618302925
B,UZ-VUB,167.671475330
B,DOCKS BRUXSEL,167.729524604
B,PICARDIE,167.797593772
B,SAINTE-FAMILLE,167.811892381
B,BIEBUYCK,168.059954751
B,MARLY,168.438135087
B,BOLLINCKX,168.687063655
B,WAUTERS,168.725897921
B,ELEPHANT,168.967847158
B,TWEE LEEUWENWEG,169.114530926
B,ENNEPETAL,169.283358896
B,AVANT-PORT,169.810844116
B,NEERSTALLE,170.346932420
B,RIVE GAUCHE,170.664970930
B,UCCLE SPORT,170.732905983
B,BRAVES,170.787018756
B,BIZET,170.883720930
B,TROIS PERTUIS,171.296536797
B,JEANNE HERREMAN,171.557387720
B,GENEVE,171.684596577
B,VAN BEETHOVEN,171.861248316
B,INTERNAT. SCHOOL,172.315091211
B,VANDERSTICHELEN,173.188850174
B,VOLTAIRE,173.227051178
B,MOENSBERG GARE,173.423563081
B,HOMBORCH,173.479628306
B,GEEFS,173.562130178
B,GILSON,173.601762712
B,COMTE DE FLANDRE,173.905198777
B,POGGE,173.932984699
B,BOURDON,173.991183104
B,MAX WALLER,174.172930904
B,COLIGNON,174.187746724
B,GARDON,174.384446075
B,VLIERKENS,174.824779249
B,AZALEES,174.938282139
B,GARE DE LINKEBEEK,175.006139005
B,HOSPICES,175.218214075
B,BEMPT,175.609628770
B,PALAIS 12,175.858021527
B,RITTWEGER,176.241531889
B,FORUM,176.340459338
B,CABRIS,176.384897154
B,BOURGET,176.546320805
B,BIGARREAUX,177.037521079
B,RING 0,177.054562559
B,TERCOIGNE,177.059206246
B,COGHEN,177.103358500
B,ESPLANADE,177.559647466
B,AUDREY HEPBURN,177.918952618
B,CAMPUS CERIA,178.301267281
B,VTM,179.044527435
B,COTEAUX,179.363318645
B,ROUPPE,179.564637681
B,RENE HENRY,179.745899435
B,BERGDAL,180.020089763
B,MANNEKEN-PIS,180.166716285
B,DE VILLEGAS,180.207360615
B,GAZELLE,180.318578649
B,PORTE DE FLANDRE,180.546466809
B,DIRECTOIRE,180.585928489
B,CRAETBOS,180.709039548
B,YSAYE,180.788565264
B,BUDA,180.883583447
B,VERREWINKEL,182.391774892
B,PASTEUR,182.404629113
B,CARREFOUR STALLE,182.609501738
B,TRIANGLE,182.618423789
B,PEYO,182.735670023
B,PORTE DE NINOVE,182.834488068
B,REINE ASTRID,182.882769473
B,MARIE DEPAGE,183.236620416
B,GLOBE,183.607996051
B,VIOLETTES,183.923745174
B,COLLEGE ST-PIERRE,184.159165752
B,HERNALSTEEN,184.329660239
B,PLAINE DES SPORTS,184.646981627
B,GERGEL,184.948019802
B,GUI,185.076453411
B,KRAAINEM-SHOPPING,185.090379009
B,LOUIS MARCELIS,186.802083333
B,DROGENBOS-SHOP.,187.117881322
B,BERENSHEIDE,187.835635359
B,NAPOLEON,188.133333333
B,SAINTE-ALLIANCE,188.752971688
B,ADEPS,189.617787189
B,EGLISE WEZEMBEEK,190.159388646
B,VAN BEVER,190.231387087
B,EGIDE VAN OPHEM,190.463280714
B,DANSAERT,190.609598191
B,EGGERGAT,191.635424940
B,STIJN STREUVELS,191.941446613
B,RONCES,192.337770383
B,PRINCE D'ORANGE,192.596107705
B,PATHE,195.423040604
B,WAGON,196.561652281
B,FORT-JACO,196.696248856
B,VOISINS,196.946969697
B,MARMOTTE,197.125647668
B,MARIE-CHRISTINE,197.410349288
B,CERIA,198.426521785
B,VIER HUISKENS,198.785100287
B,DORENT,203.267230169
B,DEUTSCHE SCHULE,204.144970414
B,RACING,206.289915966
B,LONG-CHENE,211.097777778
B,LOUISE,214.586461341
B,HERMAN,215.110924370
B,ZENOBE GRAMME,269.415233415
B,HOOGVELD,373.090909091
